text	Previous_predict	predection
  thick wtf weary_face	0.0	0
   guilty prove innocent	0.0	0
  CONway louder fellow MAGA trumpkin horrible peiple insult url	1.0	0
theferalleft liberal continue Infiltrate indoctrinate kid show hire mentally ill hemorrhoid url	1.0	0
liberal	1.0	0
   Xtc go help sleep hahahah help feel well Rockstar shit mean sleeping pill face_with_tears_of_joy	1.0	1
enjoy clown_face start Barack Obama	1.0	0
  wow   look permanently suspend place fucking headline youhadonejob	1.0	1
	0.0	0
  maybe peer url	0.0	0
   oh man go trigger fanboys fangirl lol	0.0	0
      mass school shooting number Republicans disinter gun control NRA $ come account	0.0	0
      nutbar block Todd block give clue	0.0	0
   Fabulous 40 heart_with_ribbon	0.0	0
  fear tactic people attack bullshit	1.0	1
              damn drink fight right OOH RAH party time Antifa pinata	0.0	1
  shit transport Africa niggas tell see venomous snake iguana beetle size car tire lmaoooo man_facepalming_medium dark_skin_tone man_facepalming_medium dark_skin_tone man_facepalming_medium dark_skin_tone man_facepalming_medium dark_skin_tone kind shit	1.0	1
  lose dump rump asap menace	1.0	0
sinful flesh reborn sinless cleanse blood salvation sin debt pay praise God	1.0	0
  m vote     constitutionalist republicans thank fight America appreciate   maga keepamericagreat	0.0	0
  eat weird shit cross line	1.0	1
   know fact make man url	0.0	0
  plain stupid think clever come GE public tory pay cast political dustbin yrs come smug	1.0	1
   speak dog whistle think fool	1.0	1
  get 100 right piss wall mark height	0.0	0
  politician stop reason ban confiscate popular firearm gun control crowd make target wrong	0.0	0
California url url	0.0	0
    trump want president narcissist live great life taxpayer foot bill Impeach Trump	1.0	0
  yes stupid know bachelor	1.0	1
  Berkeley Antifa agree url	0.0	0
  ah classic antifa behaviour trashpeople =)	1.0	0
President Trump announcement DonaldTrump maga metoo url	0.0	0
  remember game fucking start	0.0	1
end immigration	1.0	0
   private url	0.0	0
  Holy shit thank craft tv anymore end wrong	1.0	1
go to surprised find stealth   good Joe MAGA   QAnon TRDJ WWG1WGA url	0.0	0
    like hell hurt job -randy Orton ear	1.0	1
  henry	0.0	0
brainwash url	1.0	0
  know	0.0	0
  well look lie chick lawyer	1.0	0
bad guy EVIL liberal democrats band hater Antifa blue wave	1.0	1
antifa say	0.0	0
offensive	0.0	0
   love u kady real MVP	0.0	0
obese lazy greedy simple science	1.0	0
  Pussy	1.0	1
Bush year clinton profile courage GOP beat NRA weak NRA Bernie vote 5x NRA	0.0	0
  think pick fun face_with_tears_of_joy face_with_tears_of_joy	0.0	0
sense compassion	1.0	0
	1.0	0
  music	0.0	0
  Glad winner	0.0	0
  sorry BAG listen dark url	0.0	0
  bakkt etf call etf FUKEN CUUUUUKS	1.0	0
  plane nuts	0.0	0
  lie liberal SMH	1.0	1
   absolutely wrong victim perpetrator	0.0	0
              pc common decency face_with_rolling_eyes	0.0	0
  whoa flushed_face resist Liberals FakeNews Democrats pp Antifa WomensMarch MaxineWaters Kavanaugh HillaryClinton MAGA Maddow VoteRed2018 kitchen sink face_with_rolling_eyes	0.0	0
  Carrey shut good	1.0	0
  kill land PHX 30 min early SAN sit tarmac 40 min officially late look like go miss connection OAK suck	1.0	1
political Unmasking Team Trump prosecute american Thinker url url MAGA pjnet KAG TrumpTrain TrumpTrain2020 URL   tw055	0.0	0
   nice welcome	0.0	0
  try smoke follower antifa Shrewd	0.0	0
   good debate good Dancing Competition	0.0	0
$ JPM	1.0	0
  Fuckin great brother laugh like little girl grab ball stay trade	1.0	1
  hope shit trend beef wax homie yell Hot 97 like 50n Cam url	1.0	1
  Money well spend American Mental Health gun control sandy hook Vegas Concert Theater Shooting Church sunny Springs	1.0	0
MaxineWaters trump display despicable Behavior Human url MAGA	1.0	0
brainwash mainstream medium	1.0	0
  let nigga fish peace damn	1.0	1
    economy plummet post brexit money public service immigration work farm service doubt step conservative brexitshamble 2/2	0.0	0
  away irrelevant	1.0	0
            Nah liberal	0.0	0
  little big like need join chubby chaser tour	0.0	0
       Lets electric ferry tear dam liberal sense	0.0	0
  lie diversion	1.0	0
  Antifa democrats disguise GOP look infiltrate party worry long figure	0.0	0
ConfirmKavenaugh maga url	1.0	0
   forgot run office disagree Diane Feinstein liberal wrong think	0.0	0
look like white supremacist	1.0	0
	1.0	0
  bat nigga	1.0	1
  BS	1.0	0
liberalismisamentaldisorder need squashed like bug votered2018 url	1.0	0
agenda	0.0	0
  glad	0.0	0
   monsta x beautiful queen	0.0	0
20 Crazy Things Liberals Blame trump url   Unhinged blame President	1.0	1
        Bibi look like Stalin Stalin young maybe start act like tad China friend	1.0	0
   agree conservative heart hate 45 conservative ideal	0.0	0
   hate President	1.0	0
hat pay play	0.0	0
   course agree testify Mon vote Friday life move obstruction lunatic liberal	0.0	0
    DAVID BIRNBAUM INVISIBLE MAN ELECTION time EXACTLY bad LIBERALS ARROGANCE COMPLACENCY MENTION ARROGANCE CONTEMPT ELECTORS	1.0	0
	0.0	0
    basically PSA spoonfeed liberal exactly want hear confront structural inequity help foster implement	0.0	0
  money conservative promise housing year house actually build promise add	0.0	0
   God god	0.0	0
big thank stupid celebrity event like serve help Republicans     election MAGA     url	1.0	1
peacemaker shoot start big war > 2	1.0	0
  lovely way word wonderful person big heart thank	0.0	0
Brexit url	0.0	0
  think blame dumbass gun control	1.0	0
    McEnroe fucking legend hurl abuse appear commercial yell people movie yell people icon think fair	1.0	1
precedent overturn wait info sure	1.0	0
  come ohio	0.0	0
investigate complainant know MAGA	1.0	0
   try good libnut elitist Hollywood degenerate roasted medium question vaccine safety	0.0	0
generation responsible civic WalkAway	0.0	0
take fortitude right	0.0	0
   ha ha ha sneaky bugger warning sound	1.0	0
  Curious find website fit narrative coward url	1.0	0
   like Antifa hide face	0.0	0
  Hope feel well	0.0	0
  fuck russ 110	1.0	1
    maybe light loafer	0.0	0
  Eye Kay oh ass	1.0	1
    fucking idiot	1.0	1
repress	0.0	0
  want POTUS	1.0	0
   Notice focused pic kissy pic guy girl stare camera	0.0	0
    Chicago live proof gun control work	0.0	0
listen carefully    QAnon Qanuck AskTheQ wethepeople thegreatawakene thestorm MAGA WWG1WGA url url	0.0	0
     ask deez taste	0.0	0
    fuck hard	1.0	1
  amazing money throw guy liberal freak beto epitomize wrong America vote CRUZ	1.0	0
  find today Jesus white church Sunday watch football damn Obama liberal	1.0	1
demonize Trump unbiased reporting	0.0	0
  shit night	1.0	1
  Lindsey Graham use butt hole	1.0	1
    sick individual care Pope trash pick guy sick bring justice	1.0	1
restriction	1.0	0
  people die Chicago stupid sound idiot	1.0	1
  Super sexy red_heart smiling_face_with_heart eye ok_hand	0.0	0
   clueless defence minister rival anthony	0.0	0
      18 consider child porn matter legal age	0.0	0
  nail conservative turnout Nov stop Democrats win midterm backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down url	0.0	0
  Legit get saying write right	0.0	0
person drink	0.0	0
politic Government LIBERALS won't like >   say   take   talk plan url	0.0	0
  maybe try throw hint Kaycee ease blow pick Angela Kaycee reckless idk	0.0	0
  wow Erick work phd theology pick career evangelical understand	0.0	0
  Goodell adult brat NFL yard work	0.0	0
  plan run   Joe lose natural mind	1.0	0
  Goofy grandfather url	0.0	0
hide taxis FordNation	0.0	0
gun violence capital USA Dick + +	1.0	1
  Energy Independent	0.0	0
effective form crime prevention law cdnpoli cdnhist url	1.0	0
  antifa member midget gypsy stand shoulder big skinsuit	0.0	0
teach child MAGA2020 wethepeople MAGA Qanon8chan Constitution Song url	0.0	0
  seriously guess comedy easy viral try draw shit XD	1.0	1
promise	1.0	0
  Iya Risi area not money widow 5children attempt money prove abortive scam	1.0	0
dontmessaroundwith conservative dismiss prejudice	0.0	0
     right dang s t	0.0	0
start Perry	1.0	0
   understand sound cold love Nintendo money grub bastard cat_with_tears_of_joy	1.0	0
   dem tactic Leftist good conservative	0.0	0
hypocrisy get meme fraud url	0.0	0
  parasitic lump	1.0	0
  maybe Florida need tough gun control	0.0	0
   fair save breath cry help reality hit libertarian conservative	0.0	0
  professor Liberal Colleges Day Antifa Night	0.0	0
   Communists liberal bullet wow f*ck communist exclude instead unifying	1.0	0
   oh shit joke wtf	1.0	1
  woman molest young boy day forgive Hypocrisy thrive celebrity circle	1.0	0
     australian origin Gun Control Paperback url Kindle URL	0.0	0
  well Monday hell slow walk dictate term MAGA	1.0	1
  talk kangaroo court liberal want person word able destroy person life sick	1.0	1
   consistently stupid argument gun control advocate	1.0	1
  listen man Robbed American Taxpayers Millions dollar give Iran	1.0	0
   make sense gun control barely issue vs immigration	1.0	0
   matter Hollywood liberal face_vomite	0.0	0
  hopefully joke hate boycott leftist entertainer stop say stupid stuff	1.0	1
tolerate ur loud ass maga merch not shit nike kiss ass	1.0	1
muelleriscomingforyoutoo patheticlittlemanjr	1.0	0
  Breitbart reliable source	0.0	0
  bullet cheap	0.0	0
  look guy Antifa write	0.0	0
  conservative believe attempt rape form flirting get look past will believe nonsense	1.0	0
  old Cooley day	0.0	0
deliberate share Labour agenda useless	1.0	0
  guess forget walk liberal plank	1.0	0
  false report antifa professor assault 36 ish recall year ago upstanding scotus nominee look	0.0	0
  investigatechtistineford ford delete social medium account suddenly want delay testimony Ford ANTIFA activist	0.0	0
   wonder antifa riot street find corrupt government	1.0	1
  mean step close get Rust	0.0	0
  Beto anti american believe open border illegal recieving benefit Texans need state red	0.0	0
  fuck em complete moron	1.0	1
    start marco rubio conservative	0.0	0
  toxic alligator	1.0	1
workout fat belly insulin resistant fix medication fast detail url url	0.0	0
analysis | Devin Nunes explain antifa riot win url	0.0	0
  yeah Gun Control Act   use lot innuendo black people ghetto text	1.0	0
    stop lie liberal say absolutely nuts	1.0	1
Clinton lose	0.0	0
liberal turn SC Confirmations Jerry Springer	1.0	0
      russian collusion prove 2 yr collusion crime People win WWG1WGA MAGA	0.0	0
  real teal shit Eric da gawd	1.0	1
case mid 90 thinking_face	0.0	0
  £ ucke liar turn light notice apartment look number WTF	0.0	0
  MAGA	0.0	0
  log not shit bet eat nachos middle night underwear	1.0	1
  huge fuck	1.0	1
	0.0	0
REMIND patriot maga stand WWG1WGA Shocking Undercover Video Exposes Communists inside Government break Rules day Sara Carter url	0.0	0
stand assault problem	0.0	0
   fuck disgusting animal editor approve news bag shit	1.0	1
BITCH	0.0	1
  Strength let universe thought	0.0	0
  actually give power nut bar take gun say	0.0	0
        President respect liberal	1.0	0
   spread FakeNews   FYI MAGA	1.0	0
decent safe place url	0.0	0
whateverittake inform liberal truth url	1.0	0
  need leave lot shit past lol tweet literally	1.0	1
buy today well luck new book   MAGA url	0.0	0
  prove clue thing legislate interest comment opinion	0.0	0
  report garbage crap	1.0	1
  make sick use confirmation hearing investigation campaign photo op junior Senator way league	1.0	0
    usaafr18 look forward Dr. Deirdre Cooper Owens Wednesday October 17   lecture Medical Bondage Birth American Gynecology	0.0	0
	0.0	0
   good s fine gun control double tap ass	1.0	1
   teacher nut job judge remember influence young mind	1.0	0
1 gun control work Chicago 2 military access assault weapon ignorance old age work Chinese url	1.0	0
   FINALLY small cost effective government thank Conservatives	0.0	0
   truth need threaten moderate gun control proposal seriously talk	1.0	0
  trashy thing sleep way married man	1.0	0
  popular	0.0	0
2018s big epidemic say neoliberal mean LIBERALS	0.0	0
  President Obama miss believe President able accept reality	0.0	0
soon man like way fucking sea well	1.0	1
   FBI investigation woman motive political hit job kind shit conservative bullshit	1.0	1
   radical Social Media Antifa type hang	0.0	0
  prospect game fatbastard	1.0	0
  loudly_crying_face loudly_crying_face loudly_crying_face precious sparkling_heart	0.0	0
single thing	0.0	0
  honestly camera suck ass great zoom	0.0	1
  Antifa loud mouth Democrat	0.0	0
  human garbage wrong	1.0	1
   tell BBC viewer   cause big fall number new affordable home go solve crisis cause	0.0	0
   support gun control Texas long Beto	1.0	0
busy liberal complain loste traffic	0.0	0
   AntiFa riot scream white people	1.0	0
    racism like   face_with_open_mouth	0.0	0
globe	0.0	0
   scratch head try intimidate let	0.0	0
   easy Pod believe side terrible honestly look conservative	1.0	0
  hold majority house senate Obama say election consequence want thank Harry Reid senator vote end filibuster	0.0	0
WakeupEurope   url	0.0	0
   moore- United States America REPUBLIC school	0.0	0
  good news GOP ready straight jacket	0.0	0
  Chicago tough gun control law country Democrats want disarm law abide citizen criminal gun	1.0	1
trump correct call liar 18 month	0.0	0
    cop rarely get shoot country gun control	1.0	0
daddy pardon ticktock	0.0	0
arm leg start call dismember	1.0	0
  win Texas need liberal liberal touch turn crap	1.0	0
Clinton Feminist Brett Kavanaugh Predator Liberalism = mental disorder	1.0	0
  Screw shit honestly face_with_tears_of_joy	1.0	1
Beto O'Rourke vs Ted Cruz Latest poll Democrat Underdog Shown Lead Time Texas Senate Race Newsweek MAGA url	0.0	0
     visit tomorrow awesome	0.0	0
  shit feel real life whack like set begin idk	1.0	1
  think funny lack talent comedian	1.0	0
FBI find trump Russia Collusion Bob Woodward url tcot maga rednationrise	0.0	0
   liberal sick people	1.0	1
university property maybe wear swimsuit grope badly	1.0	0
    Look Ellen socialist commie government Universal Health Care big government gun control free college American capitalism	1.0	0
life take   finally listen action	0.0	0
settle love rally PROMISE	0.0	0
instead Fear call Pervs url	0.0	0
   expect fool like j rubin incompetent hair fire libs cost people life blame Pres trump	1.0	1
  criminal schmuck	0.0	0
Bachelor Science   work Boeing believe oppose	0.0	0
    Antifa FACIST let mean anti Americans use fake title facist	1.0	1
           liberal know truth example Obama number presidency url	0.0	0
  bet one call rob police enraged_face double_exclamation_mark   People freak stupid face_with_rolling_eyes	1.0	1
   chloe shut fuck seriously fucking life leave idk time fucking tell bc clearly fuck	1.0	1
  Holy shit meet Michael Jordan	1.0	1
  strong vibe people man vibe ten million murder dangerous DT	1.0	0
  adorable smiling_face_with_heart eye	0.0	0
look screen	0.0	0
  butt hurt like HRC	1.0	1
  beast boy 15 raven 18 robin starfire early thirty	0.0	0
  need complete total gun control philly need follow footstep chicago london democraticsocialismnow nomoregun	0.0	0
  look like gun control work Chicago grinning_face_with_smiling_eyes alien	0.0	0
sanctity life ensured mom baby	0.0	0
  like real life cartoon character love respect shit	1.0	1
appear roid rage	0.0	0
vote People India smart know real reason	0.0	0
   url read wage rebellion- beautiful moment suspicious article confirm	0.0	0
  Nigga bo2 good Cod face_with_raised_eyebrow url	1.0	1
  Boycotting NFL rest life	1.0	0
  stop nice lie obstructive liberals- vote snd infantilize bh DEMS- ruse url	0.0	0
  Eric Holder perfect Att Gen OBama administration ounce human decency bone	0.0	0
  oh go start paint hideous picture like   peddle socialism gun control	1.0	0
law abide ignore fact criminal use illegal gun	0.0	0
   shot chris Han nasty h3 player bb	1.0	0
SenFlake wrong use MeToo politic ChristineBlaseyFord url	1.0	0
3rd base path hold cap hart right hand	0.0	0
   ok antifa terrorist intelligent conversation way head safe space url	1.0	0
  unepic	1.0	0
  rating low people like guy make fun conservative reason trump win people pitiful shameful	1.0	0
  shut ass sneezing_face	1.0	1
want	1.0	0
  hell yeah FUCKIG	1.0	1
   liberal want hear Juanita Broderick ignore liberal want hear Keith Ellison accuser double Standard	1.0	0
modern day Norman Rockwell QAnon MAGA url	0.0	0
  Clearly Durbin live rock year	0.0	0
experience know talk	1.0	0
  think jisoo focus find taeyoun	1.0	0
   call letter	0.0	0
report	0.0	0
	1.0	0
  loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face want loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face thank god hospital revive	0.0	0
  feel like face change right middle mom dad	1.0	0
  Negative Nellie live brain constantly battle creep	1.0	0
   liberal will investigate know find liberal blame	1.0	0
    follow Yoda Liberals	0.0	0
  advocate gun control break current gun law place irony url	0.0	0
    ALT RIGHT lmao nope Marxists SocialismSucks	0.0	0
  feel attack face_with_tears_of_joy	0.0	0
  fast forward defensive Toad	0.0	0
accept understand easy love try correct flaw incredibly unique crown	0.0	0
231 year later liberal want away url	1.0	0
billionaire spend million curb gun right Washington URL	0.0	0
   yes Canada great achievement Trudeau Liberals keep get well	0.0	0
majority SCOTUS	1.0	0
  democrat year power remember woman bad liberal hypocrite bad kind	1.0	1
ababzhah talk sex make uncomfortable bye	0.0	1
    son antifa mask hater normal	0.0	0
  fuck xenoblade chronicle	1.0	1
    worry Antifa live parent basement community college	1.0	0
clock far right left interested initial claim genocide liberal	0.0	0
  try campaign trail big pay know Iran love Hussein match Presidrnt Trump give salary charity	0.0	0
    kind healthcare provision religious conservative give America saveournhs url	0.0	0
  troll simply dumb enjoy love tweeter rolling_on_the_floor_laughe rolling_on_the_floor_laughe rolling_on_the_floor_laughe rolling_on_the_floor_laughe rolling_on_the_floor_laughe rolling_on_the_floor_laughe rolling_on_the_floor_laughe	1.0	1
work	1.0	0
  yeah way ruin fucking hype not invite dennys finish andreas lol	1.0	1
  scuttlebutt queen	0.0	0
      lmao dumb forgive manner pile shiit say cancer url	1.0	1
  democrats despicable day vitriol lie barrel liberal make sense	1.0	0
walkaway hypocrite	1.0	1
  Democrats cut funding CIA go conservative play rule fuck time url	1.0	1
   think mean send jail fraud	1.0	0
               Andre cury earn 6 million Neymar transfer PSG	0.0	0
NFL FIRE TONY CORRENTE	1.0	0
    try hard righteous spirit	0.0	0
VoteRedToSaveAmerica united_states	0.0	0
  day boy drunk scream PATTY RAID girl scream giggle think go kill Hooker Harris need examine closet	0.0	1
delay divert midterm	1.0	0
big coward	1.0	0
  well hurry pretty old	1.0	0
   feel like weird eitherway cuz league suppose start yesterday not shit	0.0	1
   bring race real racist Democrats liberal like	1.0	1
    talk nonsense talk like Bible Quran	1.0	0
know complete truth	1.0	0
  dumb box rock pass	1.0	1
  entire way dem handle allegation like Antifa action	0.0	0
  liberal prism race	0.0	0
     AntiFa like violence	0.0	0
right	1.0	0
  holder use gag shut	0.0	0
  America win President Trump Google MAGA AmericaFirst	0.0	0
               admit h1ndu	0.0	0
    Saul suffer fool impatient people lazy read learn	1.0	1
hindu blabber non sense	1.0	0
act like protest Kavanaugh protest trump win	1.0	0
policy	1.0	0
  oh FUCKING love LATEX HMU IFU GOT Q IVE year	1.0	1
  custody understand general population custody sort hold cell	1.0	0
    Trudeau liberal rule time oust	1.0	0
red blue map not live FL work url	0.0	0
go hatred return	1.0	0
  compete bad president	1.0	0
   cute 2 day	0.0	0
    literally Bible conservative love thump read	0.0	0
hand cut head cook hasenpfeffer dinner rabbit rabbit rabbit url	1.0	0
  18 USC sec   et al Time press federal criminal charge Eric Holder swamp scum url	1.0	0
crap barometer	1.0	0
stranger beat pulp KKK hood thug	1.0	1
   nice cartoon	0.0	0
  Joe ANTIFA bully fighter fight democracy	0.0	0
  deserve smiling_face_with_horn	0.0	0
  shit sad smh	1.0	1
  dude babe dress wowowowowow	0.0	0
   Landon suck ask birthday play get Landon suck	1.0	1
  tell encourage Antifa shit try drop well	1.0	1
  big thing fail	1.0	0
  worried Russia election meddling understand Google back government deal Trump elect result company get big	0.0	0
trumpisguilty VoteBlue voteblue2018   url	0.0	0
     liar like Antifa twin vigorously defend	1.0	0
   knee thank God people love America	0.0	0
  mean bernie asshole stay home	1.0	1
  ACLU insane antifa democrats violent declare domestic terrorist group	1.0	1
  rage 2 gender skeptic	0.0	0
MAGA url	1.0	0
  Hitler proud David Hogg URL	1.0	0
  beautiful God bless folded_hand	0.0	0
   Mueller tell c o o perate prison life execute come MAGA drainthedeepstate ConfirmKavanaugh traitorsall	1.0	0
   old crap spew liberal MSM disgusting	1.0	1
group combine statistical fact remind 1 case die antifa solid ground	0.0	0
  Omg interested age damn fine af winking_face_with_tongue	1.0	1
  support d Roseanne	0.0	0
  currently date	0.0	0
  look forward see bring market rum market need quality infusion time finger cross quality spice rum	0.0	0
photoshop pic Toad MAGA cap confederate flag kart	0.0	0
           url guy Guy look like Sheila qanon MAGA greatawakening url	0.0	0
sexual identity instead common sex gender m f option	0.0	1
  OMG care Hollywood Liberals	0.0	0
   know chant Puto mean fine time mean acceptable bully player culture country	1.0	0
lmao see grown screen bloody murder new potus face_with_tears_of_joy face_with_tears_of_joy	1.0	0
mislead public disclosure threaten sen	0.0	0
  cunt 1st EU url	1.0	0
"	 0 
   lefty globalist noonecare 	 0 
  nurse friend look blue_heart yeah bit wet cough doctor deal early tell basically throw prescription antibiotic 
 assume mean think possibly chest infection eye 	 0 
  shit right face_with_tears_of_joy 	 1 
  parody unto certainly take heat idiot optic know liberal optic substance 	 1 
 people good faith high character come compete conclusion originalism abortion gun control religious liberty   Kavanaugh KavanaughHearings url"	0.0	1
  DEVIL UGLY FACE LIBERALS FEEL SORRY innocent honest ONES BRAINWASHED	1.0	1
LiberalHate LiberalIntolerance SocialistLies VetoBeto url	0.0	0
  Bullshit People die incompetent puerto rican government official expose dumb ass good try	1.0	1
  liberal will insult defense ideological agenda	0.0	0
normal rifle	0.0	0
MAGA	0.0	0
1 end War Drugs 2 slash shit taxis board 3 repeal unconstitutional gun control law url	1.0	1
shut mess Yumi mess Ms. Yuzuki	1.0	1
Judge Nap ready Version Clarence Thomas Anita Hill Hearings url theliberalway stop Pathetic lie dems   MAGA	0.0	0
   kind feel like AntiFa terrorist maybe overstate lol man_shrugge	1.0	0
united_states	1.0	0
trump responsible employment MAGA url	0.0	0
   Gibraltar people hostage remain Brexit negotiation     care fig	0.0	0
believe liberal mindless sheep	0.0	0
Americans great client appraiser carry inspection radical client radical client hate America MAGA	0.0	0
     Jaclyn crazy stupid straight lie people Morphe return policy deceptive predatory	1.0	1
   thank folded_hand follow red_apple maga hundred_point united_states united_states united_state url	0.0	0
  shit poppin	1.0	1
pos embarrassment USA	1.0	0
turn Cody Sanjuro Wilson fancy samurai probably collect fake sword riceking usefulidiot QAnon MAGA url	0.0	0
  go to bullshit	1.0	1
  suck commie atheist liberal refugee use precious tax dollar	1.0	1
   fuck night	1.0	1
antifa ANONYMOUS come url	1.0	0
  idiot actually listen   suck	1.0	1
amazing actor two_heart JenShad major actor couple goal two_heart fire AdiYa bepannaah	0.0	0
   diabetic zipper mouth_face	0.0	0
  talk shit buff chicken dip dude buff chicken dip	1.0	1
  reason liberal deport sick twisted fix	1.0	1
  believe ask people 2 vote aishwarya bcos mentally unstable n mood swing	1.0	0
  prove liberal shame whatsoever deceiver prove liar nerve speak cast shadow	1.0	0
  eye sit think killer porn stache	1.0	0
   great work Cory today hero Op Ed author invoke 25th	0.0	0
  legend say actually get phone reach day	0.0	0
  time political correctness lie know scene liberal laugh vote	0.0	0
long parlay victim point criticism work offer	0.0	0
  Boycott Nike	0.0	0
despicable	1.0	0
  know sex sale know Ridge go choose daughter jmo want Hope	1.0	0
  Kirinodere Curious Case Fucked Customs Fees 10/10 good book	1.0	0
MAGA url	0.0	0
  Winston think lovely url	0.0	0
imagine anxiety feel make smile	1.0	0
snowflake   whine whine whine MAGA baby url	1.0	0
  consider Puerto Rico electricity 70 island hurricane m wonder leave brain tarmac sun year probably Trump Baron assume	0.0	0
  obviously suck player promise large majority season ticket base support President boycottthenfl takeastand	0.0	1
eld liberal time take away	1.0	0
